registration,bonnet_no,operator
LB23PFK,SEe218,Go-Ahead
LB23PFO,SEe219,Go-Ahead
LB23PFU,Ee187,Go-Ahead
LB23PFV,Ee188,Go-Ahead
LB23PFX,Ee189,Go-Ahead
LB23PFY,Ee190,Go-Ahead
LB23PFZ,Ee191,Go-Ahead
LB23PGE,Ee192,Go-Ahead
LB23PGF,Ee193,Go-Ahead
LB23PGK,Ee194,Go-Ahead
LB23PGO,Ee195,Go-Ahead
LB23PGU,Ee196,Go-Ahead
LB23PGV,Ee197,Go-Ahead
LB23PGX,Ee198,Go-Ahead
LB23PGY,Ee199,Go-Ahead
LB23PGZ,Ee200,Go-Ahead
LB23PHN,SEe220,Go-Ahead
LB23PHO,SEe221,Go-Ahead
LB23PHU,SEe222,Go-Ahead
LB23PHV,SEe223,Go-Ahead
LB23PHX,SEe224,Go-Ahead
LB23PHY,SEe225,Go-Ahead
LB23PHZ,SEe226,Go-Ahead
LB23PJJ,SEe227,Go-Ahead
LB23PJO,SEe228,Go-Ahead
LB23PJU,SEe229,Go-Ahead
LB23PJV,SEe230,Go-Ahead
LB23PJX,SEe231,Go-Ahead
LB23PJY,SEe232,Go-Ahead
LB69JNJ,BCE47001,First Bus
LB69JNK,BCE47002,First Bus
LB69JNL,BCE47003,First Bus
LB69JNN,BCE47004,First Bus
LB69JNO,BCE47005,First Bus
LB69JNU,BCE47006,First Bus
LB69JNV,BCE47007,First Bus
LB69JNX,BCE47008,First Bus
LB69JNZ,BCE47009,First Bus
LB69JOA,BCE47010,First Bus
LB69JOH,BCE47011,First Bus
LB69JOJ,BCE47012,First Bus
LB69JOU,BCE47013,First Bus
LB69JOV,BCE47014,First Bus
LB69JPF,BCE47015,First Bus
LB69JPJ,BCE47016,First Bus
LB69JPO,BCE47017,First Bus
LB69JPU,BCE47018,First Bus
LB69JPV,BCE47019,First Bus
LB69JPX,BCE47020,First Bus
LB69JPY,BCE47021,First Bus
LB69JRO,BCE47022,First Bus
LB69JRU,BCE47023,First Bus
LB69JRV,BCE47024,First Bus
LB69JRX,BCE47025,First Bus
