route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
7,Streetdeck FCEV,Wright StreetDeck Hydroliner,1,,Streetdeck FCEV,hydrogen,double,1
70,D8UR/Enviro200MMC EV,,0,,D8UR/Enviro200MMC EV,electric,double,0
71,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/Gemini 3,hybrid,double,5
72,E20D/Enviro200 MMC,ADL Enviro200 MMC,2,,E20D/Enviro200 MMC,diesel,double,2
73,New Bus for London,,0,,New Bus for London,hybrid,double,0
74,B5LH/Gemini 3,ADL Enviro400H MMC,1,VOLVO,B5LH/Gemini 3,hybrid,double,5
75,E40D/Enviro400 MMC,ADL Enviro400 MMC,7,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,7
76,New Bus for London,,0,,New Bus for London,hybrid,double,0
77,E40H/Enviro400H MMC,ADL Enviro400H MMC,3,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,3
78,E40H/Enviro400H MMC,ADL Enviro400H MMC,3,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,3
79,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H MMC,2,,B5LH/Gemini 3,hybrid,double,2
8,New Bus for London,ADL Enviro400 MMC | ADL Enviro400H,2,ALEXANDER DENNIS,New Bus for London,hybrid,double,2
80,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,3,VOLVO,DD/Enviro400EV City,electric,double,6
81,B9TL/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3,1,,B9TL/Gemini 2,diesel,double,1
83,B9TL/Gemini 2,,0,,B9TL/Gemini 2,diesel,double,0
85,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/Gemini 3,hybrid,double,5
86,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,3,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,3
87,New Bus for London,,0,,New Bus for London,hybrid,double,0
88,E40H/Enviro400H,ADL Enviro400H MMC,3,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,5
89,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
9,New Bus for London,,0,,New Bus for London,hybrid,double,0
90,B5LH/EvoSeti,Volvo B5LH MCV EvoSeti | Volvo B5LH Wright Eclipse Gemini 3,5,,B5LH/EvoSeti,hybrid,double,5
91,B5LH/Enviro400H MMC,,0,,B5LH/Enviro400H MMC,hybrid,double,0
92,B5LH/Gemini 3,Volvo B5LH MCV EvoSeti | Volvo B5LH Wright Eclipse Gemini 3,2,,B5LH/Gemini 3,hybrid,double,2
93,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,6,BYD,DD/Enviro400EV City,electric,double,6
94,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,4,,DD/Enviro400EV City,electric,double,4
95,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,1,,B5LH/Gemini 3,hybrid,double,1
96,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 2,2,VOLVO,B5LH/Gemini 2,hybrid,double,2
969,E20D/Enviro200,,0,,E20D/Enviro200,diesel,double,0
97,Streetdeck/Gemini 3,Volvo B5LH ADL Enviro400 MMC | Volvo B5LH MCV EvoSeti | Wright StreetDeck HEV,3,VOLVO,Streetdeck/Gemini 3,diesel,double,3
98,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,2,,Streetdeck Electroliner 10.5m,electric,double,2
99,Trident/Enviro400,,0,WRIGHTBUS,Trident/Enviro400,diesel,double,3
A10,E200Dart/Enviro200,ADL Enviro200,1,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,double,1
B11,E200Dart/Enviro200,,0,,E200Dart/Enviro200,diesel,double,0
B12,E20D/Enviro200 MMC,ADL Enviro200,1,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,double,1
B13,D8UR/Enviro200 MMC EV,,0,,D8UR/Enviro200 MMC EV,electric,double,0
B14,E100EV/Enviro100EV 8.5m,,0,,E100EV/Enviro100EV 8.5m,electric,single,0
B15,E200Dart/Enviro200,,0,WRIGHTBUS,E200Dart/Enviro200,diesel,double,1
B16,Kite Electroliner 10.9m,,0,WRIGHTBUS,Kite Electroliner 10.9m,electric,double,1
BL1,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,1,BYD,DD/Enviro400EV City,electric,double,1
C1,D8UR/Enviro200MMC EV,,0,,D8UR/Enviro200MMC EV,electric,double,0
C10,e.City Gold 10.7m,Wright GB Kite Electroliner,8,,e.City Gold 10.7m,diesel,single,8
C11,Kite Electroliner 10.3m,,0,,Kite Electroliner 10.3m,electric,double,0
C3,Streetdeck Electroliner 10.5m,,0,,Streetdeck Electroliner 10.5m,electric,double,0
D3,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,double,4
