route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
1,regular,Q,Camberwell,Go-Ahead,,Canada Water,Hampstead Heath,Canada Water Bus Station,South End Green,Canada Water,"Hampstead Heath, South End Green",9.3,10.1,10,0,9.9,14.517,9.02
100,regular,Q,Camberwell,Go-Ahead,,Shadwell,St Paul's,St George's Town Hall / Shadwell Stn,King Edward Street / St Pauls Station,Shadwell,St Paul's,11.3,12.1,11.9,0,12.1,6.484,4.03
101,regular,RR,River Road,Go-Ahead,,Beckton Station,Wanstead,Beckton Bus Station,Woodbine Place,"Beckton Station, Beckton Bus Station","Wanstead, Woodbine Place",11.6,12,11.7,0,12,8.569,5.32
102,twentyfour,AD,Palmers Green,Arriva,,"Brent Cross, Shopping Centre",Edmonton Green,,Edmonton Green Bus Station,"Brent Cross, Shopping Centre",Edmonton Green,7.7,8.2,7.8,30,8.1,19.876,12.35
103,regular,GY,Grays,Arriva,,Rainham Interchange,Chase Cross,Rainham Station,,"Rainham Interchange, Rainham Station",Chase Cross,0,0,0,0,10.4,14.325,8.9
104,regular,RR,River Road,Go-Ahead,,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,7.8,8,7.8,20,7.9,6.739,4.19
105,twentyfour,WK,Hounslow Heath,First,,Heathrow Central,Greenford Station,Heathrow Central Bus Station,,Heathrow Central,Greenford Station,0,0,0,0,11.9,16.122,10.02
106,regular,NP,Northumberland Park,Go-Ahead,,Whitechapel,Finsbury Park Station,Cavell Street,Finsbury Park Interchange,"Whitechapel, Cavell Street","Finsbury Park Station, Finsbury Park Interchange",9.4,10.1,9.8,25,9.9,10.069,6.26
107,regular,PB,Potters Bar,Metroline,,New Barnet Station,Edgware Station,,,New Barnet Station,Edgware Station,0,0,0,0,14.9,18.673,11.6
108,twentyfour,NX,New Cross,Go-Ahead,,Lewisham Station,Stratford International,,Stratford International Station,Lewisham Station,Stratford International,11.2,10.9,10.4,25.9,10.8,17.34,10.77
108D,regular,,,,,,,,,,,,,,,,7.201,4.47
109,regular,BC,Beddington,Transport UK,,Brixton,Croydon Town Centre,Brixton Station,Park Street,Brixton,"Croydon Town Centre, Park Street",0,0,0,0,7.1,11.218,6.97
11,regular,SW,Stockwell,Go-Ahead,,Waterloo,Fulham Broadway,Waterloo Station / Upper Taxi Road,Fulham Town Hall,Waterloo,"Fulham Broadway, Fulham Town Hall",9.5,10,10,0,10,7.619,4.73
110,regular,AV,Hounslow,First,,Hammersmith,"Hounslow, Bus Station",Hammersmith Bus Station,,Hammersmith,"Hounslow, Bus Station",0,0,0,0,20,18.594,11.55
111,twentyfour,TF,Fulwell (Twickenham),Transport UK,,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,0,0,0,0,9.9,25.719,15.98
112,regular,W,Cricklewood,Metroline,,"North Finchley, Tally Ho!",Ealing Broadway,Tally Ho Corner,Haven Green / Ealing Broadway Stn,"North Finchley, Tally Ho!, Tally Ho Corner",Ealing Broadway,9.2,10,9.7,0,10.1,16.992,10.56
113,regular,EW,Edgware,Metroline,,Marble Arch,Edgware,Marble Arch Station,Edgware Station,Marble Arch,Edgware,0,0,0,0,9.8,18.095,11.24
114,regular,UX,Uxbridge Industrial Estate,Metroline,,Ruislip,Mill Hill Broadway,Ruislip Station,Mill Hill Broadway Station,Ruislip,Mill Hill Broadway,0,0,0,0,10,19.113,11.88
115,regular,DS,Henley Road,Go-Ahead,,Aldgate,"East Ham, Central Park",Aldgate Station,,Aldgate,"East Ham, Central Park",7.8,8,7.9,8,8.1,10.83,6.73
116,regular,WK,Hounslow Heath,First,,"Hounslow, Bus Station",Ashford Hospital,,,"Hounslow, Bus Station",Ashford Hospital,12,12,12,0,12.2,9.209,5.72
117,regular,AV,Hounslow,First,,Staines,West Middlesex Hospital,Staines Bus Station,,Staines,West Middlesex Hospital,19.6,20,20,0,19.7,17.306,10.75
119,twentyfour,C,Croydon,Go-Ahead,,Croydon Colonnades,Bromley North,The Colonnades / Croydon Airport,Bromley North Station,"Croydon Colonnades, The Colonnades / Croydon Airport",Bromley North,0,0,0,0,12.7,17.324,10.76
12,twentyfour,Q,Camberwell,Go-Ahead,,Dulwich Library,Oxford Circus,Eynella Road / Dulwich Library,Margaret Street / Oxford Circus,Dulwich Library,Oxford Circus,11.7,12.1,11.8,24.5,11.9,12.252,7.61
120,regular,AH,Brentford,Metroline,,Northolt,"Hounslow, Bus Station",Northolt Station,,Northolt,"Hounslow, Bus Station",9.2,8.8,9.5,20,10.1,12.964,8.06
121,regular,E,Enfield,Arriva,,Turnpike Lane Station,Enfield Island Village,,,Turnpike Lane Station,Enfield Island Village,0,0,0,0,9.8,19.189,11.92
122,regular,PD,Plumstead,Stagecoach London,,Crystal Palace,"Plumstead, Bus Garage",Crystal Palace Parade,,Crystal Palace,"Plumstead, Bus Garage",0,0,0,0,13.1,36.955,22.96
123,twentyfour,AR,Tottenham,Arriva,,Ilford,Wood Green,Hainault Street,Wood Green Station,"Ilford, Hainault Street",Wood Green,10.4,10.9,10.4,24.9,10.7,18.977,11.79
124,regular,TL,Catford,Stagecoach London,,"Eltham, Southend Crescent","Catford, St Dunstan's College",Southend Crescent / Southend Close,Stanstead Road / St Dunstans College,"Eltham, Southend Crescent, Southend Crescent / Southend Close","Catford, St Dunstan's College, Stanstead Road / St Dunstans College",9.7,9.6,9.9,20,10.2,13.552,8.42
125,regular,BT,Edgware,First,,Colindale Station,Winchmore Hill,,Station Road,Colindale Station,"Winchmore Hill, Station Road",0,0,0,0,10.3,17.172,10.67
126,regular,SM,Sydenham,Go-Ahead,,"Eltham, High Street",Bromley South,Eltham High Street / Foots Cray Road,Ringers Road,"Eltham, High Street","Bromley South, Ringers Road",9.9,10.8,9.7,0,10.6,10.091,6.27
127,regular,C,Croydon,Go-Ahead,,Tooting Broadway,Purley,Tooting Broadway Station,Purley Station,Tooting Broadway,Purley,10.4,11,10.5,0,10.9,15.521,9.64
128,twentyfour,NS,Romford,Stagecoach London,,Claybury Broadway,Romford Station,,,Claybury Broadway,Romford Station,11.7,12.5,11.8,29,11.9,18.621,11.57
129,regular,DS,Henley Road,Go-Ahead,,"Lewisham, Shopping Centre","Gallions Reach, Great Eastern Quay",Molesworth Street,Magellan Boulevard,"Lewisham, Shopping Centre, Molesworth Street","Gallions Reach, Great Eastern Quay, Magellan Boulevard",7.7,8.1,7.8,0,9.7,30.751,19.11
13,twentyfour,X,Westbourne Park,First,,Victoria,North Finchley,Victoria Station,North Finchley Bus Station,Victoria,North Finchley,9.9,10,10,30,9.9,15.912,9.89
130,regular,BC,Beddington,Transport UK,,"Thornton Heath, Parchmore Road",New Addington,Parchmore Road,Vulcan Way,"Thornton Heath, Parchmore Road","New Addington, Vulcan Way",0,0,0,0,11.9,16.183,10.06
131,regular,AL,Merton,Go-Ahead,,Tooting Broadway,Kingston,Tooting Broadway Station,Fairfield Bus Station,Tooting Broadway,"Kingston, Fairfield Bus Station",8.2,8.7,8.5,0,8.7,13.168,8.18
132,regular,BX,Bexleyheath,Go-Ahead,,"Bexleyheath, Shopping Centre",North Greenwich,Geddes Place,North Greenwich Station,"Bexleyheath, Shopping Centre, Geddes Place",North Greenwich,11.1,10.8,10.5,0,11.3,17.493,10.87
133,regular,QB,Battersea,Transport UK,,"Holborn, Red Lion Square",Streatham Station,Drake Street,,"Holborn, Red Lion Square, Drake Street",Streatham Station,7.6,8.1,8.2,12,8.1,13.325,8.28
134,twentyfour,PB,Potters Bar,Metroline,,Warren Street,North Finchley,University College Hospital / Euston Rd,Tally Ho Corner,"Warren Street, University College Hospital / Euston Rd","North Finchley, Tally Ho Corner",0,0,0,0,8.3,12.558,7.8
135,regular,HO,Lea Interchange,Stagecoach London,,"Old Street, Provost Street",Crossharbour,Moorfields Eye Hospital,Isle of Dogs Asda,"Old Street, Provost Street, Moorfields Eye Hospital","Crossharbour, Isle of Dogs Asda",9.9,10.5,10,0,10,13.394,8.32
136,regular,TL,Catford,Stagecoach London,,Elephant & Castle,Grove Park,Elephant & Castle / Newington Causeway,Grove Park Station,Elephant & Castle,Grove Park,10,10,9.8,0,10.1,17.119,10.64
137,regular,BN,Brixton Hill,Arriva,,Marble Arch,"Streatham Hill, Telford Avenue",Marble Arch Station / Park Lane,,Marble Arch,"Streatham Hill, Telford Avenue",5.5,6.9,6.5,0,6.8,14.559,9.05
138,regular,TL,Catford,Stagecoach London,,Coney Hall,Bromley North,Chestnut Avenue,Bromley North Station,"Coney Hall, Chestnut Avenue",Bromley North,30,30,29.7,0,29.7,6.549,4.07
139,twentyfour,W,Cricklewood,Metroline,,Waterloo,Golders Green,Waterloo Station / Waterloo Road,Golders Green Station,Waterloo,Golders Green,10.2,11.2,11,30.2,10.4,12.589,7.82
14,twentyfour,AF,Putney,Go-Ahead,,Russell Square,Putney Heath,,Putney Heath / Green Man,Russell Square,Putney Heath,7.2,8,7.9,15,7.9,11.74,7.29
140,regular,HD,Harrow Weald,Metroline,,"Harrow Weald, Bus Garage",Hayes & Harlington Station,Long Elmes,,"Harrow Weald, Bus Garage, Long Elmes",Hayes & Harlington Station,0,0,0,0,9,15.779,9.8
141,regular,AD,Palmers Green,Arriva,,London Bridge,"Palmers Green, North Circular Road",London Bridge Station,Tottenhall Road,London Bridge,"Palmers Green, North Circular Road, Tottenhall Road",5.6,6.8,6.7,12,7.6,13.185,8.19
142,regular,EW,Edgware,Metroline,,"Brent Cross, Shopping Centre",Watford Junction,,Watford Junction Railway Station,"Brent Cross, Shopping Centre",Watford Junction,11.8,12,11.9,0,11.9,19.604,12.18
143,regular,W,Cricklewood,Metroline,,Archway,"Brent Cross, Shopping Centre",Archway Station,,Archway,"Brent Cross, Shopping Centre",0,0,0,0,12,12.502,7.77
144,regular,NP,Northumberland Park,Go-Ahead,,Edmonton Green,Muswell Hill,Edmonton Green Bus Station,Muswell Hill Broadway,Edmonton Green,Muswell Hill,9.6,10.2,9.9,12,9.9,10.863,6.75
145,regular,BK,Barking,Stagecoach London,,Leytonstone,"Dagenham, Asda",Leytonstone Station,,Leytonstone,"Dagenham, Asda",11.5,12.3,11.7,0,12.5,19.287,11.98
146,regular,TB,Bromley,Stagecoach London,,Downe,Bromley North,Downe Church,Bromley North Station,Downe,Bromley North,0,0,0,0,62.2,9.778,6.08
147,regular,RR,River Road,Go-Ahead,,Canning Town,Ilford,Brunel Street,Hainault Street,"Canning Town, Brunel Street","Ilford, Hainault Street",6.9,8.3,8,0,7.9,10.842,6.74
148,twentyfour,S,Shepherd's Bush,First,,White City,Camberwell Green,White City Bus Station,Denmark Hill / Camberwell Green,White City,Camberwell Green,12,12,11.9,24,11.8,14.067,8.74
149,twentyfour,AR,Tottenham,Arriva,,London Bridge,Edmonton Green,London Bridge Bus Station,Edmonton Green Bus Station,London Bridge,Edmonton Green,6.8,7,7.8,22.9,7.9,14.299,8.88
15,regular,DS,Henley Road,Go-Ahead,,"Trafalgar Square, Charing Cross Station",Blackwall,Charing Cross Station,Blackwall Station,"Trafalgar Square, Charing Cross Station",Blackwall,11.7,12,12,0,9.9,9.84,6.11
150,regular,DX,Barking,Arriva,,Chigwell Row,Becontree Heath,Lambourne Road,Becontree Heath Leisure Centre,"Chigwell Row, Lambourne Road",Becontree Heath,0,0,0,0,12,15.083,9.37
151,regular,A,Sutton,Go-Ahead,,Worcester Park,Wallington,Worcester Park Station,Shotfield,Worcester Park,"Wallington, Shotfield",11.6,11.1,10.6,0,11,15.477,9.62
152,regular,AL,Merton,Go-Ahead,,"New Malden, Fountain Roundabout",Pollards Hill,Walton Avenue,South Lodge Avenue / Yorkshire Road,"New Malden, Fountain Roundabout, Walton Avenue","Pollards Hill, South Lodge Avenue / Yorkshire Road",11.3,12.1,12,0,12.1,13.472,8.37
153,regular,HT,Holloway,Metroline,,Liverpool Street,Finsbury Park Station,Liverpool Street Station,Finsbury Park Interchange,Liverpool Street,"Finsbury Park Station, Finsbury Park Interchange",14.2,15.1,15,0,15.1,8.782,5.46
154,regular,A,Sutton,Go-Ahead,,Morden,West Croydon,Morden Station,West Croydon Bus Station,Morden,West Croydon,11.1,10.4,10.5,20,10.4,17.052,10.6
155,regular,SW,Stockwell,Go-Ahead,,Elephant & Castle,"Tooting, St. George's Hospital",Lambeth Road,St George's Hospital,"Elephant & Castle, Lambeth Road","Tooting, St. George's Hospital",8.3,8.5,8.4,0,8.6,10.532,6.54
156,regular,QB,Battersea,Transport UK,,Vauxhall,Wimbledon,Vauxhall Bus Station,Wimbledon Station,Vauxhall,Wimbledon,0,0,0,0,11,12.621,7.84
157,regular,AL,Merton,Go-Ahead,,Morden,Crystal Palace,Morden Station,Crystal Palace Parade,Morden,Crystal Palace,11.8,12.4,11.5,20,12,19.15,11.9
158,twentyfour,EC,Edmonton,Arriva,,Stratford,Chingford Mount,Stratford Bus Station,,Stratford,Chingford Mount,5.8,6.5,6,22,6.2,12.032,7.48
159,twentyfour,QB,Battersea,Transport UK,,Oxford Circus,Streatham Station,Oxford Circus Station,,Oxford Circus,Streatham Station,8.1,9.2,9,22.5,9.3,11.808,7.34
16,regular,W,Cricklewood,Metroline,,Paddington,"Brent Park, Superstores",Bishop's Bridge / Paddington Station,Brent Park Tesco,Paddington,"Brent Park, Superstores, Brent Park Tesco",10.2,11,10.7,0,11.1,12.72,7.9
160,regular,TL,Catford,Stagecoach London,,Sidcup Station,Catford Bridge,,Catford Bridge Station,Sidcup Station,Catford Bridge,0,0,0,0,14.8,17.897,11.12
161,regular,PD,Plumstead,Stagecoach London,,North Greenwich,Chislehurst,North Greenwich Station,Chislehurst War Memorial,North Greenwich,Chislehurst,11.3,11.6,11.4,16,11.6,18.064,11.22
162,regular,SM,Sydenham,Go-Ahead,,Eltham Station,Beckenham Junction,Eltham Bus Station,Beckenham Junction Stn / Rectory Rd,"Eltham Station, Eltham Bus Station",Beckenham Junction,15.2,15.4,14.4,0,14.8,20.313,12.62
163,regular,AL,Merton,Go-Ahead,,Wimbledon,Morden,Francis Grove,Morden Station,"Wimbledon, Francis Grove",Morden,0,0,0,0,9.9,8.481,5.27
164,regular,AL,Merton,Go-Ahead,,Wimbledon,Sutton Station,Francis Grove,Sutton Station / the Quadrant,"Wimbledon, Francis Grove",Sutton Station,10.4,10.1,9.9,20,10.2,10.985,6.83
165,regular,RM,Rainham,Stagecoach London,,"Rainham, Abbey Wood Lane","Romford, The Brewery",Abbey Wood Lane,The Brewery,"Rainham, Abbey Wood Lane","Romford, The Brewery",11.9,12.4,11.8,0,12.1,17.64,10.96
166,regular,TC,Croydon,Arriva,,West Croydon,Epsom Hospital,West Croydon Bus Station,,West Croydon,Epsom Hospital,63,62,58.2,0,60.2,26.895,16.71
167,regular,BK,Barking,Stagecoach London,,Loughton,Ilford,Loughton Station,Hainault Street,Loughton,"Ilford, Hainault Street",19.4,20.1,19.9,0,20,13.803,8.58
169,regular,BK,Barking,Stagecoach London,,Barking,"Clayhall, The Glade",Barking Town Centre,,Barking,"Clayhall, The Glade",9.9,10.6,9.9,0,10.2,10.255,6.37
17,regular,HT,Holloway,Metroline,,London Bridge,Archway,London Bridge Station,Archway Station / Holloway Road,London Bridge,Archway,9.6,10.4,10.1,15,10.2,9.54,5.93
170,regular,SW,Stockwell,Go-Ahead,,Victoria,"Roehampton, Danebury Avenue",Victoria Station,Minstead Gardens,Victoria,"Roehampton, Danebury Avenue, Minstead Gardens",0,0,0,0,9.9,13.43,8.35
171,regular,NX,New Cross,Go-Ahead,,Elephant & Castle,"Bellingham, Catford Bus Garage",Lambeth Road,Catford Garage,"Elephant & Castle, Lambeth Road","Bellingham, Catford Bus Garage, Catford Garage",13.2,14,13.9,20,13.5,14.17,8.8
172,regular,NX,New Cross,Go-Ahead,,Aldwych,Brockley Rise,Aldwych / Drury Lane,Brockley Rise / Chandos,Aldwych,Brockley Rise,9.5,10,9.9,0,9.9,11.257,6.99
173,regular,BK,Barking,Stagecoach London,,King George Hospital,Beckton Station,,Beckton Bus Station,King George Hospital,"Beckton Station, Beckton Bus Station",0,0,0,0,11,15.471,9.61
174,regular,RM,Rainham,Stagecoach London,,"Dagenham, Marsh Way","Harold Hill, Dagnam Park Square",C E M E,Dagnam Park Square,"Dagenham, Marsh Way, C E M E","Harold Hill, Dagnam Park Square",0,0,0,0,10.1,17.083,10.61
175,regular,DX,Barking,Arriva,,"Dagenham, New Road",Hillrise Estate,Ballards Road / Princess Parade,,"Dagenham, New Road, Ballards Road / Princess Parade",Hillrise Estate,9.8,10,9.9,20,12.2,13.74,8.54
176,twentyfour,Q,Camberwell,Go-Ahead,,Tottenham Court Road,Penge,Tottenham Ct Rd Stn / Gt Russell St,Penge / Pawleyne Arms,"Tottenham Court Road, Tottenham Ct Rd Stn / Gt Russell St",Penge,8.6,10.1,9.8,21.9,9.9,16.112,10.01
177,regular,PD,Plumstead,Stagecoach London,,Peckham,Thamesmead,Peckham Bus Station,Thamesmead Town Centre,Peckham,Thamesmead,11.6,11.9,11.5,16,11.4,18.615,11.57
178,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,"Lewisham, Shopping Centre",Woolwich,Lewisham Station,Thomas Street,"Lewisham, Shopping Centre, Lewisham Station","Woolwich, Thomas Street",20,20.5,19.8,0,19.9,11.216,6.97
179,regular,BK,Barking,Stagecoach London,,Ilford,Chingford Station,Hainault Street,,"Ilford, Hainault Street",Chingford Station,0,0,0,0,11.9,13.831,8.59
18,regular,X,Westbourne Park,First,,Euston,Sudbury,Euston Station,Sudbury & Harrow Road Station,Euston,Sudbury,4.7,5.6,5.1,0,5,14.32,8.9
180,regular,PD,Plumstead,Stagecoach London,,North Greenwich,"Erith, Fraser Road",North Greenwich Station,Erith Quarry / Fraser Road,North Greenwich,"Erith, Fraser Road, Erith Quarry / Fraser Road",10,10.1,9.9,20,9.9,19.125,11.88
181,regular,KB,Kangley Bridge Road,Stagecoach London,,Grove Park,"Lewisham, Shopping Centre",Grove Park Station,Lewisham Station,Grove Park,"Lewisham, Shopping Centre, Lewisham Station",11.8,12.1,11.9,0,12,12.744,7.92
182,regular,HD,Harrow Weald,Metroline,,"Brent Cross, Shopping Centre","Harrow Weald, Oxhey Lane",,Bannister Playing Fields,"Brent Cross, Shopping Centre","Harrow Weald, Oxhey Lane, Bannister Playing Fields",8.6,9.8,8.9,0,8.9,19.528,12.13
183,regular,SO,Harrow,First,,Pinner,Golders Green,Pinner Station / Bridge Street,Golders Green Station,Pinner,Golders Green,0,0,0,0,10.1,17.474,10.86
184,regular,NP,Northumberland Park,Go-Ahead,,"Barnet, Chesterfield Road",Turnpike Lane Station,Chesterfield Road,,"Barnet, Chesterfield Road",Turnpike Lane Station,0,0,0,0,9.8,16.149,10.03
185,regular,Q,Camberwell,Go-Ahead,,Victoria,"Lewisham, Shopping Centre",Victoria Station,Lewisham Station,Victoria,"Lewisham, Shopping Centre, Lewisham Station",9.3,9.4,9.5,15,9.4,15.387,9.56
186,regular,HD,Harrow Weald,Metroline,,"Brent Cross, Shopping Centre",Northwick Park Hospital,,Northwick Park Hospital Social Club,"Brent Cross, Shopping Centre",Northwick Park Hospital,0,0,0,0,11.9,20.648,12.83
187,regular,WJ,Willesden Junction,Metroline,,"Finchley Road, O2 Centre",Central Middlesex Hospital,O2 Centre / Sainsbury's,,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Central Middlesex Hospital,14.8,15.5,14.8,0,14.9,12.537,7.79
188,twentyfour,Q,Camberwell,Go-Ahead,,Tottenham Court Road,North Greenwich,,North Greenwich Station,Tottenham Court Road,North Greenwich,9.9,9.9,9.9,19.3,9.8,16.001,9.94
189,twentyfour,W,Cricklewood,Metroline,,Marble Arch,"Brent Cross, Shopping Centre",Marble Arch Station,,Marble Arch,"Brent Cross, Shopping Centre",9.4,10,10,30,9.9,11.985,7.45
19,regular,SF,Stamford Hill,Arriva,,"Battersea Bridge, South Side",Finsbury Park Station,Parkgate Road,Finsbury Park Interchange,"Battersea Bridge, South Side, Parkgate Road","Finsbury Park Station, Finsbury Park Interchange",8.6,10,9.8,0,9.7,13.514,8.4
190,regular,AH,Brentford,Metroline,,West Brompton,Richmond,Empress State Building / W Brompton Stn,Richmond Bus Station,"West Brompton, Empress State Building / W Brompton Stn",Richmond,15.5,14.6,14.9,0,14.9,10.687,6.64
191,regular,E,Enfield,Arriva,,Brimsdown,Edmonton Green,Brimsdown Station,Edmonton Green Bus Station,Brimsdown,Edmonton Green,0,0,0,0,10.4,15.923,9.89
192,regular,E,Enfield,Arriva,,Tottenham Hale,Enfield,Tottenham Hale Station,Little Park Gardens,Tottenham Hale,"Enfield, Little Park Gardens",9.6,10.5,9.9,20,10,25.376,15.77
193,regular,NS,Romford,Stagecoach London,,County Park Estate,"Romford, Queen's Hospital",Essex Gardens,Queen's Hospital,"County Park Estate, Essex Gardens","Romford, Queen's Hospital",10.1,10.6,9.8,0,12.1,13.121,8.15
194,regular,TC,Croydon,Arriva,,West Croydon,Lower Sydenham,West Croydon Bus Station,Bell Green / Sainsbury's,West Croydon,"Lower Sydenham, Bell Green / Sainsbury's",11.8,11.7,11.8,0,11.9,18.255,11.34
195,regular,GW,Southall,Transport UK,,"Brentford, County Court",Charville Lane Estate,Half Acre,,"Brentford, County Court, Half Acre",Charville Lane Estate,13.2,14.3,13.5,0,14,16.465,10.23
196,regular,N,Norwood,Arriva,,Norwood Junction,Elephant & Castle,Norwood Junction Station,Elephant & Castle / Newington Causeway,Norwood Junction,Elephant & Castle,11.9,12.1,11.7,0,11.9,15.591,9.69
197,regular,PM,Peckham,Go-Ahead,,Croydon Town Centre,Peckham,Fairfield Halls,Peckham Bus Station,"Croydon Town Centre, Fairfield Halls",Peckham,11.6,12,11.5,15,11.9,15.747,9.78
198,regular,N,Norwood,Arriva,,"Thornton Heath, High Street",Shrublands,Talbot Road,Shrublands / Bramble Close,"Thornton Heath, High Street, Talbot Road",Shrublands,12,12.3,11.6,0,12.1,11.292,7.02
199,regular,TL,Catford,Stagecoach London,,"Bellingham, Catford Bus Garage",Canada Water,Catford Garage,Canada Water Bus Station,"Bellingham, Catford Bus Garage, Catford Garage",Canada Water,11.9,12,11.9,0,12.1,11.142,6.92
2,regular,N,Norwood,Arriva,,West Norwood,Marylebone,Norwood Bus Garage,Marylebone Station,"West Norwood, Norwood Bus Garage",Marylebone,8.5,8.5,8.6,0,8.6,13.472,8.37
20,regular,T,Leyton,Stagecoach London,,Debden,Walthamstow Central,Burton Road,Walthamstow Bus Station,"Debden, Burton Road","Walthamstow Central, Walthamstow Bus Station",15.3,16,15.1,0,14.8,16.634,10.34
200,regular,AL,Merton,Go-Ahead,,Mitcham,Raynes Park,Mitcham Fair Green,Lambton Road,Mitcham,"Raynes Park, Lambton Road",8.6,9.1,8.8,0,9.1,11.909,7.4
201,regular,BC,Beddington,Transport UK,,Herne Hill,Morden,Dulwich Road,London Road / Morden Station,"Herne Hill, Dulwich Road",Morden,17.7,18.1,18,0,17.8,12.939,8.04
202,regular,N,Norwood,Arriva,,"Blackheath, Royal Standard",Crystal Palace,,Crystal Palace Parade,"Blackheath, Royal Standard",Crystal Palace,9.8,10.4,9.9,0,9.8,13.4,8.33
203,regular,AV,Hounslow,First,,Staines,"Hounslow, Bus Station",Staines Bus Station,,Staines,"Hounslow, Bus Station",20,20.8,19.6,0,20,15.652,9.73
204,regular,EW,Edgware,Metroline,,Edgware,Sudbury Town Station,Edgware Station,,Edgware,Sudbury Town Station,0,0,0,0,10.1,14.311,8.89
205,regular,BW,Bow,Stagecoach London,,Bow Church,Marble Arch,Bow Church Station,Marble Arch Station,Bow Church,Marble Arch,10.3,11.4,11,0,11,12.857,7.99
206,regular,WJ,Willesden Junction,Metroline,,Kilburn Park,"Wembley Park, The Paddocks",Kilburn Park Station,The Paddocks,Kilburn Park,"Wembley Park, The Paddocks",0,0,0,0,13.2,14.325,8.9
207,regular,GW,Southall,Transport UK,,White City,Hayes By-Pass,White City Bus Station,,White City,Hayes By-Pass,8,8,8,12,8.5,28.455,17.68
208,regular,MB,Orpington,Go-Ahead,,"Orpington, Perry Hall Road",Lewisham Station,,,"Orpington, Perry Hall Road",Lewisham Station,0,0,0,0,12,18.563,11.53
209,regular,SW,Stockwell,Go-Ahead,,Putney Bridge,Mortlake,Lonsdale Road,Mortlake Bus Station,"Putney Bridge, Lonsdale Road",Mortlake,30.2,30,30.3,0,29.9,3.06,1.9
21,regular,NX,New Cross,Go-Ahead,,"Holloway, Nag's Head","Lewisham, Shopping Centre",Caledonian Road,Molesworth Street,"Holloway, Nag's Head, Caledonian Road","Lewisham, Shopping Centre, Molesworth Street",8.5,8.8,8.5,15,8.6,15.53,9.65
210,regular,W,Cricklewood,Metroline,,"Brent Cross, Shopping Centre",Finsbury Park Station,,,"Brent Cross, Shopping Centre",Finsbury Park Station,0,0,0,0,10,12.358,7.68
211,regular,QB,Battersea,Transport UK,,Battersea Power Station,Hammersmith,,Hammersmith Bus Station,Battersea Power Station,Hammersmith,9.6,11.1,10.6,0,10.9,9.342,5.8
212,regular,NP,Northumberland Park,Go-Ahead,,"Walthamstow, St James Street Station",Chingford Station,Selborne Walk,,"Walthamstow, St James Street Station, Selborne Walk",Chingford Station,0,0,0,0,9.9,9.215,5.73
213,twentyfour,A,Sutton,Go-Ahead,,"Sutton, Bushey Road",Kingston,Sutton Bus Garage,Fairfield Bus Station,"Sutton, Bushey Road, Sutton Bus Garage","Kingston, Fairfield Bus Station",11.6,12.2,11.7,22.3,11.9,14.826,9.21
214,twentyfour,RA,Waterloo,Go-Ahead,,"Moorgate, Finsbury Square",Highgate Village,Finsbury Square,Highgate School,"Moorgate, Finsbury Square","Highgate Village, Highgate School",7.2,7.7,7.4,30,7.9,9.535,5.92
215,regular,T,Leyton,Stagecoach London,,Walthamstow Central,,Walthamstow Bus Station,,"Walthamstow Central, Walthamstow Bus Station",,20.3,20.4,19.9,0,19.7,8.817,5.48
216,regular,FW,Fulwell,First,,Kingston,Staines,,,Kingston,Staines,0,0,0,0,19.9,20.901,12.99
217,regular,E,Enfield,Arriva,,Wood Green Turnpike Lane Station,Waltham Cross,,,Wood Green Turnpike Lane Station,Waltham Cross,12.1,12.9,11.9,0,15.2,14.104,8.76
218,regular,X,Westbourne Park,First,,Hammersmith,North Acton,,,Hammersmith,North Acton,12,12.3,11.9,0,12,9.072,5.64
219,regular,AL,Merton,Go-Ahead,,Clapham Junction Asda,Wimbledon,,,Clapham Junction Asda,Wimbledon,11.8,12,11.8,0,11.7,9.942,6.18
22,regular,AF,Putney,Go-Ahead,,Oxford Circus,Putney Common,,,Oxford Circus,Putney Common,9.6,10.2,9.9,0,9.8,10.074,6.26
220,twentyfour,V,Stamford Brook,First,,Wandsworth,Harlesden,,,Wandsworth,Harlesden,8,8,8,28.5,7.9,12.498,7.77
221,regular,WN,Wood Green,Arriva,,Wood Green Turnpike Lane Station,Edgware,,,Wood Green Turnpike Lane Station,Edgware,6.1,0,0,0,0,17.139,10.65
222,twentyfour,UX,Uxbridge Industrial Estate,Metroline,,Hounslow,Uxbridge,,,Hounslow,Uxbridge,0,0,0,0,9.9,17.252,10.72
223,regular,WJ,Willesden Junction,Metroline,,Wembley,Harrow View,,,Wembley,Harrow View,19.6,20,19.6,0,19.9,13.823,8.59
224,regular,AO,Athlon Road,Metroline,,St Raphael's Estate,Alperton,,,St Raphael's Estate,Alperton,19.5,20,19.6,0,19.8,11.958,7.43
