route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
632,school,W,Cricklewood,Metroline,,Kilburn Park,"Grahame Park, Corner Mead",Kilburn Park Station,Saracens High School / South Mead,Kilburn Park,"Grahame Park, Corner Mead, Saracens High School / South Mead",0,0,4,0,0,11,6.84
633,school,C,Croydon,Go-Ahead,,Pollards Hill,Coulsdon South,South Lodge Avenue / Yorkshire Road,Coulsdon South Station,"Pollards Hill, South Lodge Avenue / Yorkshire Road",Coulsdon South,0,0,0,0,0,19.994,12.42
634,school,PB,Potters Bar,Metroline,,"Barnet, Arkley Hotel",Muswell Hill,Galley Lane,,"Barnet, Arkley Hotel, Galley Lane",Muswell Hill,0,0,0,0,0,9.61,5.97
635,school,AH,Brentford,Metroline,,"Hounslow, Bus Station",St. Paul's School,,,"Hounslow, Bus Station",St. Paul's School,0,0,0,0,0,10.948,6.8
638,school,TB,Bromley,Stagecoach London,,Kemnal Technology College,Coney Hall,,Glebe Way,Kemnal Technology College,"Coney Hall, Glebe Way",0,0,0,0,0,18.015,11.19
639,school,QB,Battersea,Transport UK,,St John Bosco College,"Roehampton, Danebury Avenue",,Minstead Gardens,St John Bosco College,"Roehampton, Danebury Avenue, Minstead Gardens",0,0,0,0,0,11.897,7.39
64,twentyfour,TH,Thornton Heath,Arriva,,New Addington,Thornton Heath Pond,Vulcan Way,,"New Addington, Vulcan Way",Thornton Heath Pond,9.9,10.1,9.9,26.4,10,18.691,11.61
640,school,G,Greenford,Metroline,,Bentley Wood School,South Harrow,Bentley Wood High School,South Harrow Bus Station,"Bentley Wood School, Bentley Wood High School",South Harrow,0,0,0,0,0,8.976,5.58
642,school,EW,Edgware,Metroline,,London Academy,West Hendon Broadway,,West Hendon Broadway / Herbert Road,London Academy,West Hendon Broadway,10,0,0,0,0,21.012,13.06
643,school,UB,Hatfield,Uno,,East Finchley Schools,Brent Cross,Christ's College,Brent Cross Shopping Centre,"East Finchley Schools, Christ's College",Brent Cross,0,0,0,0,0,5.616,3.49
645,school,TC,Croydon,Arriva,,Waddon Post Office,Purley,Purley Way / Waddon Road,Purley Cross,"Waddon Post Office, Purley Way / Waddon Road",Purley,0,0,0,0,0,7.783,4.84
646,school,RR,River Road,Go-Ahead,,Cranham,Noak Hill,Moor Lane,Wincanton Road,"Cranham, Moor Lane","Noak Hill, Wincanton Road",5,0,0,0,0,13.61,8.46
649,school,WH,West Ham,Stagecoach London,,Campion School,"Romford, Parkside Avenue",The Campion School,Cedar Road,Campion School,"Romford, Parkside Avenue, Cedar Road",0,0,0,0,0,8.742,5.43
65,regular,FW,Fulwell,First,,Ealing Broadway,Kingston,Ealing Broadway Station,Brook Street,Ealing Broadway,"Kingston, Brook Street",7,7.3,7,0,7.1,15.008,9.33
650,school,WH,West Ham,Stagecoach London,,Emerson Park School,"Romford, Parkside Avenue",Emerson Park Academy,Cedar Road,"Emerson Park School, Emerson Park Academy","Romford, Parkside Avenue, Cedar Road",0,0,0,0,0,7.651,4.75
651,school,WH,West Ham,Stagecoach London,,Bower Park School,Romford Station,Chase Cross,,"Bower Park School, Chase Cross",Romford Station,0,0,0,0,0,9.367,5.82
