route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
S3,regular,BC,Beddington,Transport UK,SD,Malden Manor,Sutton Hospital,Malden Manor Station,Belmont Station,Malden Manor,"Sutton Hospital, Belmont Station",,5.5,6.0,4.5,0.0,3.0,21.669,13.464
S4,regular,C,Croydon,Go-Ahead,SD,"Sutton, Town Centre",Waddon Marsh,Sutton / Marshall's Road,Waddon Marsh Sainsbury's,"Sutton, Town Centre, Sutton / Marshall's Road",Waddon Marsh,,2.0,2.0,2.0,0.0,2.0,21.776,13.531
U1,regular,UX,Uxbridge Industrial Estate,Metroline,DD,West Drayton,Ruislip,West Drayton Station,Ruislip Station,West Drayton,Ruislip,,4.0,4.0,4.0,0.0,2.0,13.076,8.125
U2,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Uxbridge,Brunel University,Belmont Road,,"Uxbridge, Belmont Road",Brunel University,,6.0,6.0,6.0,0.0,3.0,9.506,5.907
U3,regular,UX,Uxbridge Industrial Estate,Metroline,DD,Heathrow Central,Uxbridge,Heathrow Central Bus Station,Belmont Road,Heathrow Central,"Uxbridge, Belmont Road",,5.0,5.0,5.0,0.0,3.0,15.832,9.837
U4,regular,UX,Uxbridge Industrial Estate,Metroline,DD,Uxbridge,"Hayes, Prologis Park",Belmont Road,Prologis Park,"Uxbridge, Belmont Road","Hayes, Prologis Park",,6.5,6.0,6.0,0.0,5.0,12.385,7.696
U5,regular,DH,Hayes,Transport UK,DD,Hayes & Harlington Station,Uxbridge,Blyth Road,York Road,"Hayes & Harlington Station, Blyth Road","Uxbridge, York Road",,5.0,5.0,5.0,0.0,3.0,15.08,9.371
U7,regular,DH,Hayes,Transport UK,SD,"Hayes, Sainsbury's",Uxbridge,Lombardy Retail Park,Belmont Road,"Hayes, Sainsbury's, Lombardy Retail Park","Uxbridge, Belmont Road",,1.5,2.0,2.0,0.0,2.0,11.697,7.268
U9,regular,DH,Hayes,Transport UK,SD,Harefield Hospital,Uxbridge,,Belmont Road,Harefield Hospital,"Uxbridge, Belmont Road",,3.0,3.0,3.0,0.0,1.0,9.285,5.769
U10,regular,UX,Uxbridge Industrial Estate,Metroline,SD,"Ruislip, Heathfield Rise",Uxbridge,Glenhurst Avenue,Belmont Road,"Ruislip, Heathfield Rise, Glenhurst Avenue","Uxbridge, Belmont Road",,0.5,0.5,0.5,0.0,0.5,10.559,6.561
W3,regular,WN,Wood Green,Arriva,DD,Finsbury Park Station,Northumberland Park,,Northumberland Park Bus Stand,Finsbury Park Station,Northumberland Park,,10.0,10.0,10.0,0.0,6.0,11.541,7.171
W4,regular,WN,Wood Green,Arriva,SD,"Tottenham Hale, Ferry Lane",Oakthorpe Park,Ferry Lane Primary School,Mitchell Road,"Tottenham Hale, Ferry Lane, Ferry Lane Primary School","Oakthorpe Park, Mitchell Road",,6.0,6.0,6.0,0.0,5.0,11.03,6.853
W5,regular,AW,Walthamstow Avenue,Stagecoach London,SD,"Harringay, Superstores",Archway,Harringay Sainsbury's,Archway Station,"Harringay, Superstores, Harringay Sainsbury's",Archway,,5.0,5.0,5.0,0.0,3.0,7.089,4.405
W6,regular,WN,Wood Green,Arriva,SD,Edmonton Green,Southgate,Edmonton Green Bus Station,Southgate Station,Edmonton Green,Southgate,,6.5,6.0,6.0,0.0,4.0,7.662,4.761
W7,regular,HT,Holloway,Metroline,DD,Finsbury Park Station,Muswell Hill,,Muswell Hill Broadway,Finsbury Park Station,Muswell Hill,,12.0,12.0,12.0,0.0,8.0,4.876,3.03
W8,regular,PB,Potters Bar,Metroline,DD,Lee Valley Leisure Complex,Chase Farm Hospital,Picketts Lock Centre,Chase Farm Hospital / Main Entrance,"Lee Valley Leisure Complex, Picketts Lock Centre",Chase Farm Hospital,,8.0,7.5,7.5,0.0,5.0,10.156,6.311
W9,regular,PB,Potters Bar,Metroline,SD,Southgate,Chase Farm Hospital,Southgate Station,Chase Farm Hospital / Main Entrance,Southgate,Chase Farm Hospital,,4.0,4.0,4.0,0.0,2.0,12.538,7.791
W11,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Walthamstow Central,Chingford Hall Estate,Walthamstow Central Station,,Walthamstow Central,Chingford Hall Estate,,5.0,5.0,5.0,0.0,4.0,7.896,4.907
W12,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Woodford Bridge,"Walthamstow, Coppermill Lane",Cross Road,Rensburg Road,"Woodford Bridge, Cross Road","Walthamstow, Coppermill Lane, Rensburg Road",,4.5,4.0,4.0,0.0,3.0,17.07,10.607
W13,regular,HO,Lea Interchange,Stagecoach London,SD,Woodford Wells,"Leyton Mills, Retail Park",St Thomas of Canterbury Church,Leyton Mills,"Woodford Wells, St Thomas of Canterbury Church","Leyton Mills, Retail Park",W13S,4.0,4.0,4.0,0.0,3.0,10.834,6.732
W14,regular,HO,Lea Interchange,Stagecoach London,SD,Loughton,Whipps Cross,Loughton Station,Whipps Cross Bus Stand,Loughton,Whipps Cross,,1.0,1.0,1.0,0.0,1.0,14.418,8.959
W15,regular,NP,Northumberland Park,Go-Ahead,SD,Hackney Town Hall,"Higham Hill, Cogan Avenue",,,Hackney Town Hall,"Higham Hill, Cogan Avenue",,6.0,6.0,6.0,0.0,5.0,14.753,9.167
W16,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Leytonstone,Chingford Mount,Leytonstone Station / Grove Green Road,,Leytonstone,Chingford Mount,,4.5,5.0,4.5,0.0,4.5,10.043,6.241
W19,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Ilford,"Walthamstow, Argall Avenue",Hainault Street,Argall Avenue Industrial Estate,"Ilford, Hainault Street","Walthamstow, Argall Avenue, Argall Avenue Industrial Estate",,4.0,6.5,5.5,0.0,3.0,14.717,9.145
SL1,regular,AD,Palmers Green,Arriva,DD,Walthamstow Central,North Finchley,Walthamstow Central Station,North Finchley Bus Station,Walthamstow Central,North Finchley,,5.0,5.0,5.0,0.0,4.0,14.68,9.122
SL2,regular,DX,Barking,Arriva,DD,North Woolwich,Walthamstow Central,North Woolwich Ferry,Walthamstow Central Station,North Woolwich,Walthamstow Central,,5.0,5.0,5.0,0.0,4.0,18.991,11.801
SL3,regular,TB,Bromley,Stagecoach London,DD,Bromley North,Thamesmead,Bromley North Station,Thamesmead Town Centre,Bromley North,Thamesmead,,5.0,5.0,5.0,0.0,4.0,22.989,14.285
SL4,regular,DS,Henley Road,Go-Ahead,DD,Grove Park,Canary Wharf,Grove Park Bus Station,West India Avenue,Grove Park,"Canary Wharf, West India Avenue",,7.5,7.5,7.5,0.0,4.0,14.485,9.001
SL5,regular,TC,Croydon,Arriva,DD,Croydon Town Centre,Bromley North,Park Street,Bromley North Station,"Croydon Town Centre, Park Street",Bromley North,,5.0,5.0,5.0,0.0,4.0,12.513,7.775
SL6,regular,N,Norwood,Arriva,DD,Russell Square,West Croydon,,West Croydon Bus Station,Russell Square,West Croydon,,2.5,0.0,0.0,0.0,0.0,18.957,11.78
SL7,regular,C,Croydon,Go-Ahead,DD,Heathrow Central,West Croydon,Heathrow Central Bus Station,West Croydon Bus Station,Heathrow Central,West Croydon,,4.0,4.0,4.0,0.0,4.0,41.057,25.512
SL8,regular,G,Greenford,Metroline,DD,White City,Uxbridge,White City Bus Station,Belmont Road,White City,"Uxbridge, Belmont Road",,7.5,7.0,7.5,0.0,6.5,21.467,13.339
SL9,regular,SO,Harrow,First,DD,Harrow Bus Station,Heathrow Central,,Heathrow Central Bus Station,Harrow Bus Station,Heathrow Central,,4.5,4.5,4.5,0.0,4.0,16.869,10.482
SL10,regular,SO,Harrow,First,DD,Harrow Bus Station,North Finchley,,North Finchley Bus Station,Harrow Bus Station,North Finchley,,5.0,5.0,5.0,0.0,4.0,14.708,9.139
SL11,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Gayton Road / Abbey Wood Station,North Greenwich Station,,,Gayton Road / Abbey Wood Station,North Greenwich Station,,10.0,10.0,10.0,0.0,5.0,14.783,9.186
N1,night,Q,Camberwell,Go-Ahead,DD,Thamesmead,Tottenham Court Road,Titmuss Avenue,,"Thamesmead, Titmuss Avenue",Tottenham Court Road,,0.0,0.0,0.0,2.0,2.0,27.354,16.997
N2,night,N,Norwood,Arriva,DD,Marylebone,Crystal Palace,Marylebone Station,Crystal Palace Parade,Marylebone,Crystal Palace,,0.0,0.0,0.0,3.0,0.0,15.78,9.805
N3,night,WL,Walworth,Transport UK,DD,Bromley North,Oxford Circus,Bromley North Station,Margaret Street / Oxford Circus,Bromley North,Oxford Circus,,0.0,0.0,0.0,3.0,0.0,25.5,15.845
N5,night,BT,Edgware,First,DD,Trafalgar Square,Edgware,Whitehall / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,,0.0,0.0,0.0,2.0,0.0,21.73,13.503
N7,night,PV,Perivale [East],Metroline,DD,Oxford Circus,Northolt,Oxford Circus Station / John Lewis,Northolt Station,Oxford Circus,Northolt,,0.0,0.0,0.0,2.0,2.0,24.893,15.468
N8,night,BW,Bow,Stagecoach London,DD,Oxford Circus,"Hainault, The Lowe",Great Titchfield St / Oxford Circus Stn,The Lowe,Oxford Circus,"Hainault, The Lowe",,0.0,0.0,0.0,6.0,3.0,26.666,16.57
N9,night,AH,Brentford,Metroline,DD,Heathrow Terminal 5,Aldwych,,Aldwych / Drury Lane,Heathrow Terminal 5,Aldwych,,0.0,0.0,0.0,2.0,2.5,32.892,20.438
N11,night,SW,Stockwell,Go-Ahead,DD,"Whitehall, Horse Guards",Ealing Broadway,Horse Guards Parade,Ealing Broadway Station / Haven Green,"Whitehall, Horse Guards, Horse Guards Parade",Ealing Broadway,,0.0,0.0,0.0,1.5,1.5,21.397,13.295
N15,night,DS; RR,Henley Road; River Road,Go-Ahead,DD,Oxford Circus,Romford Market,Margaret Street / Oxford Circus,,Oxford Circus,Romford Market,,0.0,0.0,0.0,7.5,6.0,29.733,18.475
N18,night,X,Westbourne Park,First,DD,Trafalgar Square,"Harrow Weald, Bus Garage",Whitehall / Trafalgar Square,Long Elmes,Trafalgar Square,"Harrow Weald, Bus Garage, Long Elmes",,0.0,0.0,0.0,4.0,0.5,23.866,14.83
